dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,coverage_start,coverage_end,generated_at,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2007-01-01,2007-01,1,0.058333333333333334,0,0.0005303567731227068,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2007-05-01,2007-05,1,0.058333333333333334,0,0.0005303567731227068,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2007-10-01,2007-10,1,0.04575163398692811,0,0.0005303567731227068,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2007-12-01,2007-12,2,0.22950819672131148,0,0.0010607135462454135,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2008-01-01,2008-01,1,0.22580645161290322,0,0.0005253002969104964,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2008-02-01,2008-02,1,0.22580645161290322,0,0.0005253002969104964,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2008-04-01,2008-04,1,0.11666666666666667,0,0.0005253002969104964,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2008-05-01,2008-05,1,0.23333333333333334,0,0.0005253002969104964,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2008-07-01,2008-07,1,0.11475409836065574,0,0.0005253002969104964,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2008-09-01,2008-09,1,0.11290322580645161,0,0.0005253002969104964,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2008-10-01,2008-10,3,0.7000000000000001,0,0.0015759008907314893,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2008-11-01,2008-11,2,0.45161290322580644,0,0.0010506005938209929,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2008-12-01,2008-12,1,0.23333333333333334,0,0.0005253002969104964,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2009-01-01,2009-01,5,1.129032258064516,0,0.002603082719973941,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2009-02-01,2009-02,4,0.9032258064516129,0,0.002082466175979153,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D188,work-related-cancer,Work-related cancer,BR,Brazil,D188,Work-related cancer,职业相关癌症,Other,2009-03-01,2009-03,1,0.25,0,0.0005206165439947882,wpp_computed,,2007-01-01,2026-05-01,2026-08-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
